,ReactionID,Participation,Stiochiometry,MoleculeID
17960,R-HSA-9027043,Product,1,R-ALL-29366
17961,R-HSA-9027043,Product,1,R-ALL-9027049
17962,R-HSA-9027044,Substrate,1,R-ALL-70106
17963,R-HSA-9027044,Substrate,1,R-ALL-29368
17964,R-HSA-9027044,Substrate,1,R-ALL-29364
17965,R-HSA-9027044,Substrate,1,R-ALL-9027049
17966,R-HSA-9027044,Product,1,R-ALL-29356
17967,R-HSA-9027044,Product,1,R-ALL-9027045
17968,R-HSA-9027044,Product,1,R-ALL-29366
17969,R-HSA-9027302,Substrate,1,R-ALL-9027029
17970,R-HSA-9027302,Substrate,1,R-ALL-70106
17971,R-HSA-9027302,Substrate,1,R-ALL-29368
17972,R-HSA-9027302,Substrate,1,R-ALL-29364
17973,R-HSA-9027302,Product,1,R-ALL-29356
17974,R-HSA-9027302,Product,1,R-ALL-9027326
17975,R-HSA-9027302,Product,1,R-ALL-29366
17976,R-HSA-9027321,Substrate,1,R-ALL-70106
17977,R-HSA-9027321,Substrate,1,R-ALL-29368
17978,R-HSA-9027321,Substrate,1,R-ALL-29364
17979,R-HSA-9027321,Substrate,1,R-ALL-9027049
17980,R-HSA-9027321,Product,1,R-ALL-29356
17981,R-HSA-9027321,Product,1,R-ALL-29366
17982,R-HSA-9027321,Product,1,R-ALL-9027324
17983,R-HSA-9027531,Substrate,1,R-ALL-29366
17984,R-HSA-9027531,Substrate,1,R-ALL-9027547
17985,R-HSA-9027531,Product,1,R-ALL-9027537
17986,R-HSA-9027531,Product,1,R-ALL-29364
17987,R-HSA-9027532,Substrate,1,R-ALL-29368
17988,R-HSA-9027532,Substrate,1,R-ALL-9024011
17989,R-HSA-9027532,Product,1,R-ALL-9027547
17990,R-HSA-9027562,Substrate,1,R-ALL-9027622
17991,R-HSA-9027562,Substrate,1,R-ALL-29366
17992,R-HSA-9027562,Product,1,R-ALL-29364
17993,R-HSA-9027562,Product,1,R-ALL-9027626
17994,R-HSA-9027598,Substrate,1,R-ALL-9026400
17995,R-HSA-9027598,Substrate,1,R-ALL-29366
17996,R-HSA-9027598,Product,1,R-ALL-9027602
17997,R-HSA-9027598,Product,1,R-ALL-29364
17998,R-HSA-9027600,Substrate,1,R-ALL-9027614
17999,R-HSA-9027600,Substrate,1,R-ALL-29366
18000,R-HSA-9027600,Product,1,R-ALL-9027601
18001,R-HSA-9027600,Product,1,R-ALL-29364
18002,R-HSA-9027607,Substrate,1,R-ALL-9608444
18003,R-HSA-9027607,Substrate,1,R-ALL-29368
18004,R-HSA-9027607,Product,1,R-ALL-9027614
18005,R-HSA-9027624,Substrate,1,R-ALL-29368
